SerialNumber,Fecha,MesKey,S_High_mVA,Delta_Crnt_A,Ford_Real_Formula,Proy_220A_High_mV,Margen_Ford_mV,Periodo,Zona,Accion,Ford_Real,Escape
25175000423,6/24/2025,202506,5.700000000000016,0.0000,PASS,3760.000000000004,14.000000000003638,RIESGO,VERDE,LIBERAR,FAIL,SI
25178000295,6/27/2025,202506,5.700000000000016,0.0000,PASS,3760.000000000004,14.000000000003638,RIESGO,VERDE,LIBERAR,FAIL,SI
25202000350,7/21/2025,202507,5.700000000000016,0.0000,PASS,3760.000000000004,14.000000000003638,RIESGO,VERDE,LIBERAR,FAIL,SI
25188000069,7/7/2025,202507,5.700000000000016,0.0000,PASS,3759.000000000004,13.000000000003638,RIESGO,VERDE,LIBERAR,FAIL,SI
25314000033,11/10/2025,202511,5.700000000000016,0.0000,PASS,3759.000000000004,13.000000000003638,RIESGO,VERDE,LIBERAR,FAIL,SI
25322000040,11/18/2025,202511,5.699999999999994,0.0000,PASS,3747.999999999999,1.999999999998636,RIESGO,VERDE,LIBERAR,FAIL,SI
25322000099,11/18/2025,202511,5.700000000000016,0.0000,PASS,3759.000000000004,13.000000000003638,RIESGO,VERDE,LIBERAR,FAIL,SI
25349000344,12/15/2025,202512,5.750000000000011,1.9298,PASS,3767.000000000002,21.000000000002277,RIESGO,VERDE,LIBERAR,FAIL,SI
25349000781,12/15/2025,202512,5.699999999999994,0.0000,PASS,3757.999999999999,11.999999999998636,RIESGO,VERDE,LIBERAR,FAIL,SI
25351000133,12/17/2025,202512,5.700000000000016,0.0000,PASS,3756.000000000004,10.000000000003638,RIESGO,VERDE,LIBERAR,FAIL,SI
26005000094,1/5/2026,202601,5.700000000000016,0.0000,PASS,3755.000000000004,9.000000000003638,RIESGO,VERDE,LIBERAR,FAIL,SI
